EIN,FisYr,NAME,STATE,zip5,SUBSECCD,hospfclt_cnt,hrow,fclt_num,fclty_name,fclty_zip,type_of_fclty,chna_cndct,chna_descr,nds_assmnt_cndct,tk_into_acct,oth_fclt,chna_wdly_avlbl,chna_public,nds_addrssd,all_nds_addrssd,org_incr_exc_tx,fil_4720_rprt_exc_tx,exc_rprt_4720_all_amt,elgbl_crtr_explnd,uss_fpg_fr,fpg_fr_pct,uss_fpg_dscntd,fpg_dscnt_pct,explns_bss,bss_for_amts,explns_applctn_mthd,inclds_pblcty_msrs,how_msrs_pblczd,actns_nnpymnt,nnpymnt_actn_mthds,coll_acty,coll_acty_mthds,pre_coll_acty,nndscrm_emrgncy_cr_plcy,rsn_no_nndscrm_plcy,max_amt_dtrmnd,amt_gnrlly_blld,gr_chrg
"741356589","2012","ST DAVID'S FOUNDATION","TX","78704","03","4","2","2","ST DAVIDS NORTH AUSTIN MEDICAL CENTE","78758","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","200","Y","500","Y","12345678","Y","Y","13456","Y","","Y","","1234","Y","","4","Y","Y"
"741356589","2012","ST DAVID'S FOUNDATION","TX","78704","03","4","3","3","ST DAVIDS SOUTH AUSTIN MEDICAL CENTE","78704","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","200","Y","500","Y","12345678","Y","Y","13456","Y","","Y","","1234","Y","","4","Y","Y"
"741356589","2012","ST DAVID'S FOUNDATION","TX","78704","03","4","4","4","ST DAVIDS ROUND ROCK MEDICAL CENTER","78681","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","200","Y","500","Y","12345678","Y","Y","13456","Y","","Y","","1234","Y","","4","Y","Y"
"560529976","2012","BLUE RIDGE HEALTHCARE HOSPITALS INC","NC","28655","03","2","1","1","CMC BR MORGANTON","28655","1247","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","120","Y","250","Y","12345","Y","Y","167","Y","","Y","","2345","Y","","4","Y","Y"
"560529976","2012","BLUE RIDGE HEALTHCARE HOSPITALS INC","NC","28655","03","2","2","2","CMC BR VALDESE","28671","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","120","Y","250","Y","12345","Y","Y","167","Y","","Y","","234","Y","","4","Y","Y"
"741394418","2013","COLUMBUS COMMUNITY HOSPITAL","TX","78934","03","1","1","1","COLUMBUS COMMUNITY HOSPITAL","78934","127","Y","1234568","10","Y","Y","Y","2","78","Y","Y","Y","0","Y","Y","200","Y","500","Y","1234567","Y","Y","3456","Y","1","Y","1","1234","Y","","3","Y","Y"
"351865344","2012","COMMUNITY HOWARD REGIONAL HEALTH INC","IN","46902","03","2","1","127","COMMUNITY HOWARD REGIONAL HEALTH","46902","","Y","1234578","12","Y","Y","Y","23","3","Y","Y","Y","1","Y","Y","200","Y","200","Y","17","Y","Y","26","Y","","Y","","234","Y","2","3","Y","Y"
"351865344","2012","COMMUNITY HOWARD REGIONAL HEALTH INC","IN","46902","03","2","2","1","HOWARD REGIONAL SPECIALTY CARE","46901","","Y","1234578","12","Y","Y","Y","23","3","Y","Y","Y","1","Y","Y","200","Y","200","Y","17","Y","Y","26","Y","","Y","","234","Y","2","3","Y","Y"
"350983617","2012","COMMUNITY HEALTH NETWORK INC","IN","46256","03","2","1","1","SOMUNITY HOSPTITAL NORTH","46256","1247","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","200","Y","300","Y","1378","Y","Y","13467","Y","","Y","","","Y","","4","Y","Y"
"350983617","2012","COMMUNITY HEALTH NETWORK INC","IN","46256","03","2","2","2","COMMUNITY HOSPITAL EAST","46219","1247","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","200","Y","300","Y","1378","Y","Y","13467","Y","","Y","","","Y","","4","Y","Y"
"210634484","2012","SOUTH JERSEY HOSPITAL INC","NJ","08302","03","2","1","1","INSPIRA MEDICAL CENTER VINELAND","8360","1247","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","200","Y","550","Y","1257","Y","Y","356","Y","","Y","","12345","Y","","3","Y","Y"
"210634484","2012","SOUTH JERSEY HOSPITAL INC","NJ","08302","03","2","2","2","INSPIRA MEDICAL CENTER ELMER","8318","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","200","Y","550","Y","1257","Y","Y","356","Y","","Y","","12345","Y","","3","Y","Y"
"920019395","2012","VALLEY HOSPITAL ASSOCIATION INC","AK","99654","03","1","1","127","MAT-SU VALLEY MEDICAL CENTER LLC","99645","","N","","","N","N","N","","","N","N","N","0","N","N","","N","","N","","N","N","","N","","N","","","N","","","N","N"
"410714079","2012","St Luke's Hospital of Duluth","MN","55805","03","1","1","1","ST LUKES HOSPITAL","55805","12467","N","","","N","N","N","","","N","N","N","0","N","N","","N","","N","","N","N","","N","","N","","","N","","","N","N"
"351166081","2012","JOHNSON MEMORIAL HOSPITAL","IN","46131","03","1","1","1","JOHNSON MEMORIAL HOSPITAL","46131","17","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","300","Y","300","Y","123456","Y","Y","123456","Y","","Y","","","Y","","4","Y","Y"
"721532350","2012","Horisons Unlimited","CA","95348","03","3","1","1","HORISONS UNLIMITED LIVINGSTON","95334","1","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","20","Y","20","Y","1","Y","Y","","Y","1","Y","1","1","Y","","3","Y","Y"
"721532350","2012","Horisons Unlimited","CA","95348","03","3","2","2","HORISONS UNLIMITED CHOWCHILLA","93610","1","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","20","Y","20","Y","1","Y","Y","","Y","1","Y","1","1","Y","","3","Y","Y"
"721532350","2012","Horisons Unlimited","CA","95348","03","3","3","3","HORISONS UNLIMITED LOS BANOS","93635","1","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","20","Y","20","Y","1","Y","Y","","Y","1","Y","1","1","Y","","3","Y","Y"
"610654587","2012","BAPTIST HEALTH MADISONVILLE INC","KY","42431","03","1","1","1","BAPTIST HEALTH MADISONVILLE","42431","147","N","","","N","N","N","","","N","N","N","0","N","N","","N","","N","","N","N","","N","","N","","","N","","","N","N"
"221820210","2012","INSPIRA MEDICAL CENTER WOODBURY INC","NJ","08096","03","1","1","1","INSPIRA MEDICALCENTER","8096","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","200","Y","200","Y","123456","Y","Y","3456","Y","","Y","","12345","Y","","3","Y","Y"
"952158727","2012","CANCER CENTER OF SANTA BARBARA","CA","93105","03","1","1","1","CANCER CENTER OF SANTA BARBARA","93105","","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","200","Y","387","Y","124","Y","Y","6","Y","1","Y","","","Y","","4","Y","Y"
"540525802","2012","LOUDOUN HOSPITAL CENTER","VA","22042","03","1","1","","INOVA LOUDOUN HOSPITAL","20176","127","N","","","N","N","N","","","N","N","N","0","N","N","","N","","N","","N","N","","N","","N","","","N","","","N","N"
"986001162","2013","JEWISH GENERAL HOSPITAL","CN","88888","03","1","1","1","JEWISH GENERAL HOSPITAL","88888","2","N","","","N","N","N","","","N","N","N","0","N","N","","N","","N","","N","N","","N","","N","","","N","","","N","N"
"951643989","2013","CASA COLINA HOSPITAL FOR REHABILITATIVE MEDICINE","CA","91769","03","1","1","1","CASA COLINA HOSPITAL FOR REHAB","91769","12","Y","123456789","2011","Y","Y","Y","12","15678","Y","Y","Y","0","Y","Y","200","Y","350","Y","13456","Y","Y","1346","Y","123","Y","123","234","Y","1","3","Y","Y"
"390973724","2013","Flambeau Hospital Inc","WI","54552","03","1","1","","FLAMBEAU HOSPITAL INC","54552","1257","N","","","N","N","N","","","N","N","N","0","N","N","","N","","N","","N","N","","N","","N","","","N","","","N","N"
"560554230","2012","THE PREBYTERIAN HOSPITAL","NC","27103","03","2","1","1","PRESBYTERIAN HOSPITAL","28204","1237","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","300","Y","","Y","","Y","Y","123456","Y","","Y","","","Y","","4","Y","N"
"560554230","2012","THE PREBYTERIAN HOSPITAL","NC","27103","03","2","2","2","PRESBYTERIAN HOSPITAL HUNTERSVILLE","28078","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","300","Y","","Y","","Y","Y","123456","Y","","Y","","","Y","","4","Y","N"
"731192765","2013","INTEGRIS AMBULATORY CARE CORPORATION","OK","73112","03","2","1","1","OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SPECIALTY SURGERY","73139","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12347","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"731192765","2013","INTEGRIS AMBULATORY CARE CORPORATION","OK","73112","03","2","2","2","LAKESIDE WOMEN'S HOSPITAL LLC","73120","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12347","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"731089149","2013","INTERGIS SO OKLAHOMA CITY HOSP CORP","OK","73112","03","1","1","1","INTEGRIS SOUTHWEST MEDICAL CENTER","73109","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12347","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"731444504","2013","INTEGRIS RURAL HEALTH INC","OK","73112","03","4","1","1","INTEGRIS BASS BAPTIST HEALTH CENTER","73702","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12317","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"731444504","2013","INTEGRIS RURAL HEALTH INC","OK","73112","03","4","2","2","INTEGRIS CANADIAN VALLEY HOSPITAL","73099","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12347","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"731444504","2013","INTEGRIS RURAL HEALTH INC","OK","73112","03","4","3","3","INTEGRIS GROVE HOSPITAL","74344","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12347","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"731444504","2013","INTEGRIS RURAL HEALTH INC","OK","73112","03","4","4","4","INTEGRIS BAPTIST REGIONAL HEALTH CENTER","74354","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12347","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"451027361","2013","INTEGRIS HEALTH EDMOND INC","OK","73112","03","1","1","1","INTEGRIS HEALTH EDMOND INC","73034","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12347","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"731034824","2013","INTEGRIS BAPTIST MEDICAL CENTER INC","OK","73112","03","1","1","1","INTEGRIS BAPTIST MEDICAL CENTER INC","73112","127","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","150","Y","300","Y","12347","Y","Y","12356","Y","","Y","","1234","Y","","1","Y","Y"
"986001091","2012","SHAARE ZEDEK MEDICAL CENTER (A\"R)","AO","99990","03","1","1","1","SHAARE ZEDEK MEDICAL CENTER (A\"R)","99990","1","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","7","Y","Y","","Y","2","Y","12","3","Y","","4","Y","Y"
"450255914","2013","ASHLEY MEDICAL CENTER","ND","58413","03","1","1","1","ASHLEY MEDICAL CENTER","58413","1","Y","123456789","2013","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","100","Y","200","Y","123457","Y","Y","346","Y","5","Y","","1234","Y","","1","Y","Y"
"391101287","2013","Ripon Medical Center Inc","WI","54971","03","1","1","1","RIPON MEDICAL CENTER INC","54971","157","Y","123456789","2012","Y","Y","Y","123","123456789","Y","Y","Y","0","Y","Y","165","Y","300","Y","1278","Y","Y","13456","Y","","Y","","1234","Y","","4","Y","Y"
"731500629","2013","MERCY HOSPITAL ARDMORE","OK","73401","03","1","1","","MERCY HOSPITAL ARDMORE","73401","127","N","","","N","N","N","","","N","N","N","0","N","N","","N","","N","","N","N","","N","","N","","","N","","","N","N"
"450226553","2013","MERCY HOSPITAL OF VALLEY CITY","ND","58072","03","1","1","1","MERCY HOSPITAL","58072","1257","Y","123456789","2012","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","1","Y","","Y","123456","Y","Y","13456","Y","","Y","","","Y","","4","Y","Y"
"452438973","2013","CENTRACARE HEALTH SYSTEM - SAUK CENTRE","MN","56378","03","1","1","1","CENTRACARE HEALTH - SAUK CENTRE","56378","1257","Y","1234567890","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","175","Y","250","Y","1","Y","Y","123467","Y","25","Y","25","2345","Y","","4","Y","Y"
"620475842","2013","SAINT THOMAS RUTHERFORD HOSPITAL","TN","37129","03","1","1","1","SAINT THOMAS RUTHERFORD HOSPITAL","99999","127","Y","123456789","2012","Y","Y","Y","12","12567","Y","Y","Y","0","Y","Y","200","Y","300","Y","123578","Y","Y","67","Y","","Y","","","Y","","4","Y","Y"
"610847215","2013","WAYNE COUNTY HOSPITAL INC","KY","42633","03","1","1","1","WAYNE COUNTY HOSPITAL","42633","5","Y","12345678","2012","Y","Y","Y","1","18","Y","Y","Y","0","Y","Y","100","Y","200","Y","14","Y","Y","6","Y","13","Y","13","3","Y","","","Y","Y"
"620347580","2013","SAINT THOMAS WEST HOSPITAL","TN","37205","03","1","1","1","SAINT THOMAS WEST HOSPITAL","","138","Y","123456789","2012","Y","Y","Y","12","1256","Y","Y","Y","0","Y","Y","200","Y","300","Y","123578","Y","Y","67","Y","","Y","","","Y","","4","Y","Y"
"860186064","2013","THE LEGACY FOUNDATION OF SOUTHEAST ARIZONA","AZ","85635","03","1","1","1","SIERRA VISTA REGIONAL HEALTH CENTER","85635","1247","Y","123456789","2012","Y","Y","Y","2","12345678","Y","Y","Y","0","Y","Y","200","Y","800","Y","1456","Y","Y","6","Y","","Y","","34","Y","4","4","Y","Y"
"430687077","2013","MERCY HOSPITAL JEFFERSON","MO","63109","03","1","1","1","MERCY HOSPITAL JEFFERSON","63019","1","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","100","Y","400","Y","123","Y","Y","1346","Y","","Y","","","Y","","4","Y","Y"
"250979377","2013","CHRISTIAN H BUHL LEGACY TRUST","PA","16146","03","1","1","1","SHARON REGIONAL HEALTH SYSTEM","16146","127","Y","123456789","2012","Y","Y","Y","12","123478","Y","Y","Y","0","Y","Y","200","Y","400","Y","123","Y","Y","123456","Y","","Y","","12345","Y","","2","Y","Y"
"390806265","2013","WAUPUN MEMORIAL HOSPITAL","WI","53963","03","1","1","1","WAUPUN MEMORIAL HOSPITAL","53963","57","Y","123456789","2012","Y","Y","Y","123","123456789","Y","Y","Y","0","Y","Y","165","Y","300","Y","1278","Y","Y","13456","Y","","Y","","1234","Y","","4","Y","Y"
"460796114","2013","UCH MHS","CO","80045","03","2","1","1","MEMORIAL HOSPITAL CENTRAL","80909","1237","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","250","Y","400","Y","13456","Y","Y","6","Y","123","Y","123","1234","Y","","1","Y","Y"
"460796114","2013","UCH MHS","CO","80045","03","2","2","2","MEMORIAL HOSPITAL NORTH","80920","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","250","Y","400","Y","13456","Y","Y","6","Y","123","Y","123","1234","Y","","1","Y","Y"
"465338502","2013","ALBERT EINSTEIN HEALTHCARE NETWORK GROUP LETTER RULING","PA","19141","03","3","1","1","ALBERT EINSTEIN MEDICAL CENTER","19141","12467","Y","123456789","2012","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","200","Y","","Y","1456","Y","Y","167","Y","","Y","","","Y","","4","Y","Y"
"465338502","2013","ALBERT EINSTEIN HEALTHCARE NETWORK GROUP LETTER RULING","PA","19141","03","3","2","2","BELMONT CTR FOR COMPREHENSIVE TREATMENT","19131","14","Y","123456789","2012","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","200","Y","","Y","1456","Y","Y","167","Y","","Y","","","Y","","4","Y","Y"
"465338502","2013","ALBERT EINSTEIN HEALTHCARE NETWORK GROUP LETTER RULING","PA","19141","03","3","3","3","EINSTEIN MEDICAL CENTER MONTGOMERY","19403","12467","Y","123456789","2012","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","200","Y","","Y","1456","Y","Y","167","Y","","Y","","","Y","","4","Y","Y"
"621869474","2013","SAINT THOMAS MIDTOWN HOSPITAL","TN","37205","03","1","1","1","SAINT THOMAS MIDTOWN HOSPITAL","37236","127","Y","123456789","2012","Y","Y","Y","12","1256","Y","Y","Y","0","Y","Y","200","Y","300","Y","123578","Y","Y","67","Y","","Y","","","Y","","4","Y","Y"
"010603214","2013","SAINT FRANCIS HOSPITAL SOUTH LLC","OK","74136","03","1","1","1","SAINT FRANCIS HOSPITAL SOUTH LLC","74133","127","Y","12345678","2012","Y","Y","Y","12","1234678","Y","Y","Y","0","Y","Y","225","Y","","Y","123456","Y","Y","1256","Y","","Y","","12345","Y","","4","Y","Y"
"273311774","2013","ST LUKE'S MCCALL LTD","ID","83712","03","1","1","1","ST LUKES MCCALL","83638","1257","Y","123456789","2012","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","185","Y","400","Y","1234567","Y","Y","134567","Y","","Y","","","Y","","2","Y","Y"
"560532309","2013","HIGH POINT REGIONAL HEALTH","NC","27261","03","1","1","1","HIGH POINT REGIONAL HEALTH SYSTEM","27262","127","Y","123456789","2012","Y","Y","Y","12","123478","Y","Y","Y","0","Y","Y","200","Y","400","Y","1237","Y","Y","16","Y","","Y","","234","Y","","2","Y","Y"
"010078060","2013","HENRIETTA D GOODALL HOSPITAL INC","ME","04073","03","1","1","1","HENRIETTA D GOODALL HOSPITAL INC","4073","127","Y","124578","2011","Y","Y","Y","123","16","Y","Y","Y","0","Y","Y","200","Y","250","Y","15","Y","Y","2346","Y","","Y","","","Y","","4","Y","Y"
"841421665","2013","ST LUKES WOOD RIVER MEDICAL CENTER","ID","83702","03","1","1","1","ST LUKE'S WOOD RIVER MEDICAL CENTER","83340","1257","Y","123456789","2012","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","185","Y","400","Y","1234567","Y","Y","134567","Y","","Y","","","Y","","2","Y","Y"
"390873606","2013","HOWARD YOUNG MEDICAL CENTER","WI","54568","03","1","1","1","HOWARD YOUNG MEDICAL CENTER","54568","127","Y","123456789","2012","Y","Y","Y","12","1278","Y","Y","Y","0","Y","Y","200","Y","400","Y","123456","Y","Y","123456","Y","","Y","","","Y","","2","Y","Y"
"382146751","2013","MCLAREN NORTHERN MICHIGAN","MI","49770","03","1","1","1","MCLAREN NORTHERN MICHIGAN","49770","1267","Y","123456789","2012","Y","Y","Y","123","12345678","Y","Y","Y","0","Y","Y","200","Y","400","Y","1234567","Y","Y","123456","Y","","Y","","35","Y","","234","Y","Y"
"200743054","2013","BLUE MOUNTAIN HOSPITAL","UT","84511","03","1","1","1","BLUE MOUNTAIN HOSPITAL","84511","1","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","","Y","Y","","Y","12","Y","12","1234","Y","","1","Y","Y"
"421418132","2013","LORING HOSPITAL","IA","50583","03","1","1","1","LORING HOSPITAL","50583","1257","Y","1234578","2012","Y","Y","Y","12","178","Y","Y","Y","0","Y","Y","150","Y","250","Y","123","Y","Y","67","Y","1","Y","1","1234","Y","","2","Y","Y"
"237440652","2013","SOUTHERN INDIANA COMMUNITY HEALTH CARE","IN","47454","03","4","1","1","CRAWFORD COUNTY FAMILY HEALTH CARE","47140","","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","200","Y","1","Y","Y","","Y","1","Y","1","1234","Y","1","3","Y","Y"
"237440652","2013","SOUTHERN INDIANA COMMUNITY HEALTH CARE","IN","47454","03","4","2","2","PATOKA FAMILY HEALTH CARE CENTER","47118","","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","200","Y","1","Y","Y","","Y","1","Y","1","1234","Y","1","3","Y","Y"
"237440652","2013","SOUTHERN INDIANA COMMUNITY HEALTH CARE","IN","47454","03","4","3","3","VALLEY HEALTH","47432","","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","200","Y","1","Y","Y","","Y","1","Y","1","1234","Y","1","3","Y","Y"
"237440652","2013","SOUTHERN INDIANA COMMUNITY HEALTH CARE","IN","47454","03","4","4","4","COMPREHENSIVE HEALTH CARE","47454","","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","200","Y","1","Y","Y","","Y","1","Y","1","1234","Y","1","3","Y","Y"
"452750258","2013","EL CAMPO MEMORIAL HOSPITAL","TX","77437","03","1","1","1","EL CAMPO MEMORIAL HOSPITAL","77437","1278","Y","123456789","2012","Y","Y","Y","12","123478","Y","Y","Y","0","Y","Y","150","Y","200","Y","12345678","Y","Y","34567","Y","12","Y","","1234","Y","","1","Y","Y"
"320326595","2013","HEART OF TEXAS HEALTHCARE SYSTEM","TX","76825","03","1","1","1","HEART OF TEXAS MEMORIAL HOSPITAL","76825","1257","Y","123456789","2012","Y","Y","Y","12","1278","Y","Y","Y","0","Y","Y","","Y","","Y","1234567","Y","Y","456","Y","1","Y","1","134","Y","","3","Y","Y"
"860215065","2013","COMMUNITY COUNSELING CENTERS INC","AZ","85901","03","1","1","1","COMMUNITY COUNSELING","85929","","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","6","Y","Y","6","Y","5","Y","","","Y","","","Y","Y"
"310956326","2013","HEALTH SERVICES OF THE VIRGINIAS INC","WV","24701","03","1","1","1247","HEALTH SERVICES OF THE VIRGINIAS","24701","","N","","","N","N","N","","","N","N","N","0","N","N","","N","","N","","N","N","","N","","N","","","N","","","N","N"
"240701920","2013","BUCKTAIL MEDICAL CENTER","PA","17764","03","1","1","1","BUCKTAIL MEDICAL CENTER","17764","5","Y","12345678","2012","Y","Y","Y","2","367","Y","Y","Y","1","Y","Y","200","Y","200","Y","17","Y","Y","1346","Y","1","Y","","234","Y","","3","Y","Y"
"721444312","2013","WORKING PEOPLE'S FREE CLINIC","LA","71301","03","1","1","1","COMMUNITY HEALTHWORX","71301","1","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","","Y","Y","3456","Y","","Y","","5","Y","1","4","Y","Y"
"520607921","2013","MCCREADY FOUNDATION INC","MD","21817","03","1","1","1","THE EDWARD W MCCREADY MEMORIAL HOSPITAL","21817","127","Y","234510","2009","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","200","Y","350","Y","1","Y","Y","13456","Y","12","Y","12","134","Y","","4","Y","Y"
"460400557","2013","DOUGLAS COUNTY MEMORIAL HOSPITAL","SD","57313","03","1","1","1","DOUGLAS COUNTY MEMORIAL HOSPITAL","57313","5","Y","123456789","2012","Y","Y","Y","12","78","Y","Y","Y","0","Y","Y","125","Y","200","Y","1234567","Y","Y","26","Y","5","Y","123","34","Y","","4","Y","Y"
"593122517","2013","DOCTORS' MEMORIAL HOSPITAL INC","FL","32347","03","1","1","1","DOCTORS' MEMORIAL HOSPITAL","32347","2","Y","123456789","2012","Y","Y","Y","23","378","Y","Y","Y","0","Y","Y","200","Y","400","Y","12678","Y","Y","23456","Y","","Y","","1234","Y","","4","Y","Y"
