conuty,state,fips,rate
"Hanson, SD",SD,46061,
"Harding, SD",SD,46063,
"Hyde, SD",SD,46069,
"Jackson, SD",SD,46071,
"Jones, SD",SD,46075,
"Sanborn, SD",SD,46111,
"Shannon, SD",SD,46113,
"Sully, SD",SD,46119,
"Todd, SD",SD,46121,
"Ziebach, SD",SD,46137,
"Archer, TX",TX,48009,
"Armstrong, TX",TX,48011,
"Borden, TX",TX,48033,
"Briscoe, TX",TX,48045,
"Clay, TX",TX,48077,
"Cochran, TX",TX,48079,
"Coke, TX",TX,48081,
"Collingsworth, TX",TX,48087,
"Concho, TX",TX,48095,
"Cottle, TX",TX,48101,
"Culberson, TX",TX,48109,
"Edwards, TX",TX,48137,
"Glasscock, TX",TX,48173,
"Hartley, TX",TX,48205,
"Hudspeth, TX",TX,48229,
"Irion, TX",TX,48235,
"Jeff Davis, TX",TX,48243,
"Kenedy, TX",TX,48261,
"Kent, TX",TX,48263,
"King, TX",TX,48269,
"Knox, TX",TX,48275,
"Lipscomb, TX",TX,48295,
"Loving, TX",TX,48301,
"McMullen, TX",TX,48311,
"Menard, TX",TX,48327,
"Mills, TX",TX,48333,
"Motley, TX",TX,48345,
"Oldham, TX",TX,48359,
"Presidio, TX",TX,48377,
"Real, TX",TX,48385,
"Roberts, TX",TX,48393,
"Schleicher, TX",TX,48413,
"Shackelford, TX",TX,48417,
"Sterling, TX",TX,48431,
"Terrell, TX",TX,48443,
"Throckmorton, TX",TX,48447,
"Daggett, UT",UT,49009,
"Piute, UT",UT,49031,
"Wayne, UT",UT,49055,
"Charles City, VA",VA,51036,
"Greensville, VA",VA,51081,
"Highland, VA",VA,51091,
"King and Queen, VA",VA,51097,
"Madison, VA",VA,51113,
"Prince George, VA",VA,51149,
"Rappahannock, VA",VA,51157,
"Rockbridge, VA",VA,51163,
"Surry, VA",VA,51181,
"Bedford City, VA",VA,51515,
"Manassas Park, VA",VA,51685,
"Williamsburg, VA",VA,51830,
"Florence, WI",WI,55037,
"Menominee, WI",WI,55078,
"Norton, VA",VA,51720,504.9
"Martinsville, VA",VA,51690,444.4
"Galax, VA",VA,51640,431.1
"Emporia, VA",VA,51595,300.6
"Franklin City, VA",VA,51620,271.8
"Lexington, VA",VA,51678,269
"Whitley, KY",KY,21235,265.2
"Covington, VA",VA,51580,256.4
"Bell, KY",KY,21013,252.7
"Walker, AL",AL,1127,249.9
"Owsley, KY",KY,21189,249.7
"Floyd, KY",KY,21071,245
"Hardin, IL",IL,17069,243.4
"Colonial Heights, VA",VA,51570,243
"Pike, KY",KY,21195,242.4
"Waynesboro, VA",VA,51820,232.1
"Campbell, TN",TN,47013,228.1
"Colbert, AL",AL,1033,222.9
"Franklin, AL",AL,1059,222.4
"Clay, KY",KY,21051,220.9
"Salem, VA",VA,51775,220.7
"Claiborne, TN",TN,47025,219.4
"Leslie, KY",KY,21131,217.7
"Perry, KY",KY,21193,217.6
"Forrest, MS",MS,28035,217.4
"Scotland, NC",NC,37165,216.7
"Wise, VA",VA,51195,214.1
"Saline, IL",IL,17165,213.5
"Trousdale, TN",TN,47169,212.2
"Evangeline, LA",LA,22039,209.8
"Breathitt, KY",KY,21025,208.8
"Ben Hill, GA",GA,13017,208.1
"Logan, WV",WV,54045,206.6
"Ware, GA",GA,13299,205.9
"Haralson, GA",GA,13143,205.1
"Cocke, TN",TN,47029,201.5
"Cumberland, KY",KY,21057,201.1
"Tazewell, VA",VA,51185,200.5
"Marshall, AL",AL,1095,200.4
"Covington, AL",AL,1039,198.8
"Butler, MO",MO,29023,197.5
"Henry, TN",TN,47079,196.1
"Seminole, GA",GA,13253,195.8
"Wolfe, KY",KY,21237,194.9
"Marion, AL",AL,1093,192.9
"Marion, MS",MS,28091,192.9
"Wyoming, WV",WV,54109,192.8
"Sequatchie, TN",TN,47153,191.3
"Staunton, VA",VA,51790,190.1
"Winchester, VA",VA,51840,189.9
"Grundy, TN",TN,47061,189.4
"Columbus, NC",NC,37047,189.1
"Clay, TN",TN,47027,189
"Alcorn, MS",MS,28003,188.9
"Danville, VA",VA,51590,188.6
"Pratt, KS",KS,20151,188.5
"Bristol, VA",VA,51520,186
"McNairy, TN",TN,47109,185.7
"Johnson, KY",KY,21115,183.7
"Roscommon, MI",MI,26143,183.3
"Dyer, TN",TN,47045,183.2
"Lancaster, VA",VA,51103,183.2
"Carbon, UT",UT,49007,183.1
"Fentress, TN",TN,47049,182.6
"Garland, AR",AR,5051,182.5
"Carroll, KY",KY,21041,181.9
"McCracken, KY",KY,21145,181.6
"Surry, NC",NC,37171,181.6
"Fulton, KY",KY,21075,181.1
"Hamblen, TN",TN,47063,180.4
"DeKalb, TN",TN,47041,180.3
"Clinton, KY",KY,21053,179.1
"Crisp, GA",GA,13081,178.6
"Sullivan, TN",TN,47163,178.2
"McMinn, TN",TN,47107,178.1
"St. Francois, MO",MO,29187,176.7
"Howell, MO",MO,29091,176.5
"Fredericksburg, VA",VA,51630,175.9
"Pike, MS",MS,28113,175.8
"Coffee, TN",TN,47031,175.5
"Childress, TX",TX,48075,175.1
"Carter, OK",OK,40019,174.8
"Sebastian, AR",AR,5131,174.6
"Greene, AR",AR,5055,174.4
"Escambia, AL",AL,1053,174.3
"Boone, WV",WV,54005,172.5
"Dunklin, MO",MO,29069,172.3
"McDuffie, GA",GA,13189,172.2
"Cullman, AL",AL,1043,172
"Etowah, AL",AL,1055,171.9
"Howard, AR",AR,5061,170.8
"Polk, GA",GA,13233,170.8
"Boone, AR",AR,5009,169.5
"George, MS",MS,28039,169.4
"Winston, AL",AL,1133,169.3
"Cherokee, AL",AL,1019,169.2
"Stone, MS",MS,28131,168.9
"Morton, KS",KS,20129,168.7
"Jones, MS",MS,28067,168.5
"Rhea, TN",TN,47143,168.5
"Stephens, GA",GA,13257,167.9
"Anderson, TN",TN,47001,167.9
"Scott, IN",IN,18143,167.5
"Iosco, MI",MI,26069,167.3
"Coffee, GA",GA,13069,167
"Decatur, TN",TN,47039,166.8
"Warren, TN",TN,47177,166.3
"Adams, MS",MS,28001,166
"Clarke, AL",AL,1025,165.6
"Alamosa, CO",CO,8003,165.5
"Calhoun, AL",AL,1015,165.4
"Magoffin, KY",KY,21153,165
"Crawford, AR",AR,5033,164.7
"Independence, AR",AR,5063,164.7
"Craighead, AR",AR,5031,164.4
"Pittsburg, OK",OK,40121,164.2
"Mitchell, NC",NC,37121,164.1
"Murray, OK",OK,40099,164.1
"Massac, IL",IL,17127,163.9
"Little River, AR",AR,5081,163.8
"Monroe, TN",TN,47123,163.8
"Wexford, MI",MI,26165,163.7
"Union, IL",IL,17181,163.5
"Osborne, KS",KS,20141,163.5
"Desha, AR",AR,5041,163.3
"Fannin, GA",GA,13111,163.3
"Lauderdale, MS",MS,28075,162.7
"Ripley, MO",MO,29181,162.7
"Fayette, AL",AL,1057,162
"Wayne, TN",TN,47181,162
"Scott, VA",VA,51169,161.9
"Harmon, OK",OK,40057,161.5
"Phillips, AR",AR,5107,161.4
"St. Bernard, LA",LA,22087,161.3
"Hardin, TN",TN,47071,161.1
"Neshoba, MS",MS,28099,161
"Ogemaw, MI",MI,26129,160.9
"Candler, GA",GA,13043,160.8
"Roane, TN",TN,47145,160.4
"Floyd, GA",GA,13115,160.1
"Lee, KY",KY,21129,160.1
"Otsego, MI",MI,26137,160.1
"Stone, AR",AR,5137,159.5
"Graham, KS",KS,20065,159.1
"Malheur, OR",OR,41045,158.8
"Lamar, TX",TX,48277,158.6
"Grenada, MS",MS,28043,157.9
"Lewis, TN",TN,47101,157.9
"Petersburg, VA",VA,51730,157.5
"Nicholas, WV",WV,54067,157.4
"Darlington, SC",SC,45031,157
"Allen, KS",KS,20001,156.9
"Montgomery, KY",KY,21173,156.8
"Russell, KY",KY,21207,156.6
"Toombs, GA",GA,13279,155.9
"Scott, AR",AR,5127,155.5
"Wadena, MN",MN,27159,155.3
"Burke, NC",NC,37023,154.9
"Smith, TN",TN,47159,154.6
"Bryan, OK",OK,40013,154.4
"Randolph, GA",GA,13243,154.3
"Curry, OR",OR,41015,154
"Clinch, GA",GA,13065,153.4
"Jasper, MO",MO,29097,152.7
"Rapides, LA",LA,22079,152.6
"Wilbarger, TX",TX,48487,152.5
"Madison, MO",MO,29123,152.3
"Putnam, TN",TN,47141,152.1
"Wayne, GA",GA,13305,152
"Jackson, OH",OH,39079,151.8
"Lawrence, TN",TN,47099,151.8
"Luce, MI",MI,26095,151.7
"Bacon, GA",GA,13005,151.2
"St. Landry, LA",LA,22097,151.2
"Letcher, KY",KY,21133,150.8
"Mercer, WV",WV,54055,150.8
"Williamson, IL",IL,17199,150
"Houston, TN",TN,47083,149.9
"Dawson, GA",GA,13085,149.5
"Powell, KY",KY,21197,149.4
"Kane, UT",UT,49025,149.4
"Trego, KS",KS,20195,148.8
"Carroll, TN",TN,47017,148.7
"Hancock, TN",TN,47067,148.5
"Jackson, AR",AR,5067,148.4
"Wilkes, GA",GA,13317,148.4
"Tishomingo, MS",MS,28141,148
"Henderson, KY",KY,21101,147.5
"Chambers, AL",AL,1017,147.3
"Pearl River, MS",MS,28109,147.3
"Henderson, TN",TN,47077,147.3
"White, TN",TN,47185,147.1
"Sharp, AR",AR,5135,147
"Del Norte, CA",CA,6015,147
"Dickson, TN",TN,47043,147
"Rabun, GA",GA,13241,146.9
"Giles, TN",TN,47055,146.9
"Houston, AL",AL,1069,146.6
"Coos, OR",OR,41011,146.5
"Asotin, WA",WA,53003,146.5
"Unicoi, TN",TN,47171,146.4
"Maury, TN",TN,47119,146.1
"Union, IA",IA,19175,145.8
"Henry, MO",MO,29083,145.4
"Cumberland, TN",TN,47035,145.4
"Estill, KY",KY,21065,145.2
"Tift, GA",GA,13277,145.1
"Raleigh, WV",WV,54081,144.6
"Union, GA",GA,13291,144.5
"Elbert, GA",GA,13105,144.4
"Clay, AR",AR,5021,144.2
"Spalding, GA",GA,13255,144.1
"Bleckley, GA",GA,13023,143.9
"McClain, OK",OK,40087,143.7
"Benton, TN",TN,47005,143.5
"Beaufort, NC",NC,37013,143.4
"Clare, MI",MI,26035,143.3
"Mobile, AL",AL,1097,143
"Giles, VA",VA,51071,142.6
"Ouachita, AR",AR,5103,142.5
"Saline, KS",KS,20169,142.5
"Pemiscot, MO",MO,29155,142.3
"Washington, FL",FL,12133,142.1
"Nye, NV",NV,32023,141.9
"Adams, IL",IL,17001,141.8
"Rowan, KY",KY,21205,141.8
"Gibson, TN",TN,47053,141.6
"Bradley, TN",TN,47011,141.3
"Wasco, OR",OR,41065,141.2
"Lawrence, IN",IN,18093,141.1
"Florence, SC",SC,45041,140.9
"Fayette, IN",IN,18041,140.8
"Baker, OR",OR,41001,140.8
"Tangipahoa, LA",LA,22105,140.7
"Caldwell, NC",NC,37027,140.7
"Butler, AL",AL,1013,140.5
"Baxter, AR",AR,5005,140.5
"Lauderdale, AL",AL,1077,140.2
"Marion, IL",IL,17121,140.2
"Wayne, MS",MS,28153,140.2
"Talladega, AL",AL,1121,140.1
"Robeson, NC",NC,37155,140.1
"Mellette, SD",SD,46095,140
"Humphreys, TN",TN,47085,139.9
"Clay, NC",NC,37043,139.8
"Clay, AL",AL,1027,139.7
"Wayne, KY",KY,21231,139.7
"Smyth, VA",VA,51173,139.7
"Harlan, KY",KY,21095,139.5
"Hancock, WV",WV,54029,139.5
"Gilmer, GA",GA,13123,139.4
"Vanderburgh, IN",IN,18163,139.3
"Carson City, NV",NV,32510,139.1
"Cleveland, NC",NC,37045,139
"Bibb, GA",GA,13021,138.8
"Adair, MO",MO,29001,138.8
"Robertson, TN",TN,47147,138.8
"Martin, KY",KY,21159,138.7
"Gregg, TX",TX,48183,138.7
"Appomattox, VA",VA,51011,138.6
"Floyd, IN",IN,18043,138.5
"Union, KY",KY,21225,138.5
"Morgan, AL",AL,1103,138
"Dillon, SC",SC,45033,137.9
"Upson, GA",GA,13293,137.7
"Lynchburg, VA",VA,51680,137.6
"Monroe, KY",KY,21171,137.5
"Dickenson, VA",VA,51051,137.5
"Iron, MO",MO,29093,137.3
"Tate, MS",MS,28137,137.2
"Tripp, SD",SD,46123,137.2
"McDowell, WV",WV,54047,137.1
"Mississippi, AR",AR,5093,137
"Lake, CA",CA,6033,137
"Butte, CA",CA,6007,136.9
"Scott, TN",TN,47151,136.8
"Pasquotank, NC",NC,37139,136.6
"Gulf, FL",FL,12045,136.5
"Hopkins, KY",KY,21107,136.5
"Union, AR",AR,5139,136.3
"Johnson, AR",AR,5071,136
"Lincoln, OR",OR,41041,135.9
"Smith, KS",KS,20183,135.8
"Muskegon, MI",MI,26121,135.8
"Tulsa, OK",OK,40143,135.8
"Cabell, WV",WV,54011,135.7
"Las Animas, CO",CO,8071,135.6
"Pulaski, VA",VA,51155,135.6
"Cheboygan, MI",MI,26031,135.4
"Richmond, NC",NC,37153,134.9
"Marshall, TN",TN,47117,134.9
"Mineral, NV",NV,32021,134.8
"Greene, TN",TN,47059,134.8
"Monroe, AL",AL,1099,134.5
"Evans, GA",GA,13109,134.5
"Caldwell, KY",KY,21033,134.4
"Muhlenberg, KY",KY,21177,134.3
"Harrison, MS",MS,28047,134.3
"Moore, NC",NC,37125,134.3
"Colleton, SC",SC,45029,134.3
"Fayette, PA",PA,42051,134.2
"Mingo, WV",WV,54059,134.2
"Pope, AR",AR,5115,134.1
"Wapello, IA",IA,19179,134
"Mohave, AZ",AZ,4015,133.9
"Grayson, KY",KY,21085,133.9
"Vance, NC",NC,37181,133.9
"Conway, AR",AR,5029,133.7
"Wright, MO",MO,29229,133.7
"Washington, OH",OH,39167,133.7
"Harrisonburg, VA",VA,51660,133.7
"Clarke, MS",MS,28023,133.6
"Mason, MI",MI,26105,133.5
"Catawba, NC",NC,37035,133.5
"Appanoose, IA",IA,19007,133.4
"Emmet, MI",MI,26047,133.3
"Hertford, NC",NC,37091,132.9
"Lewis, ID",ID,16061,132.8
"Itawamba, MS",MS,28057,132.7
"Wood, WV",WV,54107,132.7
"Shasta, CA",CA,6089,132.5
"Stephens, OK",OK,40137,132.5
"Knox, IN",IN,18083,132.4
"Garfield, WA",WA,53023,132.4
"Baldwin, AL",AL,1003,132.1
"Coffee, AL",AL,1031,131.9
"Chattooga, GA",GA,13055,131.9
"Boyle, KY",KY,21021,131.9
"Rockingham, NC",NC,37157,131.8
"Kiowa, CO",CO,8061,131.5
"Laurens, GA",GA,13175,131.5
"Lowndes, MS",MS,28087,131.5
"Madison, TN",TN,47113,131.5
"Josephine, OR",OR,41033,131.2
"Grundy, MO",MO,29079,131.1
"Kanawha, WV",WV,54039,131
"Marengo, AL",AL,1091,130.8
"Hamilton, TN",TN,47065,130.8
"Macon, TN",TN,47111,130.7
"Weakley, TN",TN,47183,130.6
"Marshall, WV",WV,54051,130.5
"Pottawatomie, OK",OK,40125,130.4
"Allegany, MD",MD,24001,130.3
"Ramsey, ND",ND,38071,130.3
"Brown, TX",TX,48049,130
"Autauga, AL",AL,1001,129.9
"Miller, AR",AR,5091,129.7
"Arenac, MI",MI,26011,129.6
"Appling, GA",GA,13001,129.5
"Bradley, AR",AR,5011,129.3
"Greene, GA",GA,13133,129.3
"McCreary, KY",KY,21147,129.3
"Jefferson, GA",GA,13163,129
"Craven, NC",NC,37049,128.6
"Webster, MS",MS,28155,128.4
"Stanly, NC",NC,37167,128.3
"Newaygo, MI",MI,26123,128.2
"Cross, AR",AR,5037,128.1
"Muskogee, OK",OK,40101,128.1
"Clallam, WA",WA,53009,127.8
"Greenwood, SC",SC,45047,127.7
"Franklin, GA",GA,13119,127.6
"Pickens, GA",GA,13227,127.6
"Howard, IN",IN,18067,127.6
"Grand Traverse, MI",MI,26055,127.6
"Scott, MO",MO,29201,127.5
"Nolan, TX",TX,48353,127.4
"Greenbrier, WV",WV,54025,127.2
"Genesee, MI",MI,26049,127.1
"Gregory, SD",SD,46053,127.1
"Franklin, TN",TN,47051,127.1
"Lee, MS",MS,28081,127
"Marion, SC",SC,45067,127
"Franklin, IL",IL,17055,126.9
"Gaston, NC",NC,37071,126.6
"Pend Oreille, WA",WA,53051,126.5
"Tuolumne, CA",CA,6109,126.4
"Avoyelles, LA",LA,22009,126.4
"Lawrence, AL",AL,1079,126.2
"Washington, OK",OK,40147,126.2
"Union, OR",OR,41061,126.2
"Harrison, MO",MO,29081,126.1
"Oconee, SC",SC,45073,126.1
"Sevier, TN",TN,47155,125.9
"Rogers, OK",OK,40131,125.7
"Calhoun, MI",MI,26025,125.5
"Cape Girardeau, MO",MO,29031,125.5
"Dougherty, GA",GA,13095,125.4
"Marion, MO",MO,29127,125.4
"White, AR",AR,5145,125.3
"Morgan, IL",IL,17137,125.3
"Hood, TX",TX,48221,125.3
"Decatur, GA",GA,13087,125.2
"Jasper, IN",IN,18073,125.1
"Crittenden, KY",KY,21055,124.9
"Union, SC",SC,45087,124.9
"Jefferson, TN",TN,47089,124.9
"Nez Perce, ID",ID,16069,124.5
"Sevier, UT",UT,49041,124.3
"Union, MS",MS,28145,124.1
"Clatsop, OR",OR,41007,124.1
"Siskiyou, CA",CA,6093,124
"Catoosa, GA",GA,13047,124
"Montcalm, MI",MI,26117,123.9
"Juneau, WI",WI,55057,123.9
"Lawrence, MS",MS,28077,123.5
"Lincoln, NC",NC,37109,123.5
"Jefferson, AL",AL,1073,123.4
"Jefferson, IN",IN,18077,123.4
"Polk, AR",AR,5113,123.3
"Barren, KY",KY,21009,123.3
"Kent, MD",MD,24029,123.3
"Bowie, TX",TX,48037,123.2
"Alpena, MI",MI,26007,123
"Halifax, NC",NC,37083,123
"Essex, VA",VA,51057,122.9
"Pleasants, WV",WV,54073,122.8
"Casey, KY",KY,21045,122.7
"Lincoln, MS",MS,28085,122.6
"Adams, ND",ND,38001,122.2
"Keith, NE",NE,31101,122
"Horry, SC",SC,45051,121.9
"Jefferson, OH",OH,39081,121.8
"Kalkaska, MI",MI,26079,121.7
"Churchill, NV",NV,32001,121.7
"Bay, FL",FL,12005,121.5
"Morgan, IN",IN,18109,121.2
"Adair, KY",KY,21001,121.1
"Gogebic, MI",MI,26053,121.1
"Creek, OK",OK,40037,121
"Ashley, AR",AR,5003,120.7
"Chilton, AL",AL,1021,120.6
"Johnson, TN",TN,47091,120.6
"Pontotoc, OK",OK,40123,120.5
"Wythe, VA",VA,51197,120.5
"Ouachita, LA",LA,22073,120.4
"Sharkey, MS",MS,28125,120.4
"Tippah, MS",MS,28139,120.3
"White, IL",IL,17193,120.1
"Mercer, PA",PA,42085,120.1
"Gordon, GA",GA,13129,120
"Lee, NC",NC,37105,119.9
"Harrison, WV",WV,54033,119.9
"Grays Harbor, WA",WA,53027,119.7
"Hempstead, AR",AR,5057,119.6
"Columbia, FL",FL,12023,119.5
"Early, GA",GA,13099,119.4
"Winston, MS",MS,28159,119.4
"Gloucester, VA",VA,51073,119.4
"Carroll, GA",GA,13045,119.3
"Washington, LA",LA,22117,119.3
"Taney, MO",MO,29213,119.2
"Orange, TX",TX,48361,119.2
"Stephens, TX",TX,48429,119.2
"Montgomery, KS",KS,20125,119.1
"Lemhi, ID",ID,16059,118.9
"Edgar, IL",IL,17045,118.9
"Prentiss, MS",MS,28117,118.9
"Camden, MO",MO,29029,118.9
"St. Mary, LA",LA,22101,118.8
"Gladwin, MI",MI,26051,118.8
"Clay, IA",IA,19041,118.7
"Ellis, KS",KS,20051,118.7
"La Salle, LA",LA,22059,118.7
"Buchanan, MO",MO,29021,118.7
"Seward, KS",KS,20175,118.6
"Lyon, KY",KY,21143,118.6
"Attala, MS",MS,28007,118.6
"Jefferson Davis, MS",MS,28065,118.5
"Red Willow, NE",NE,31145,118.4
"Bladen, NC",NC,37017,118.3
"Dare, NC",NC,37055,118.3
"Foster, ND",ND,38031,118.3
"Mendocino, CA",CA,6045,118.2
"Starke, IN",IN,18149,118.2
"Pickett, TN",TN,47137,118
"Russell, AL",AL,1113,117.9
"Montgomery, IL",IL,17135,117.9
"Leflore, MS",MS,28083,117.9
"Pike, OH",OH,39131,117.9
"Lake, OR",OR,41037,117.9
"Page, IA",IA,19145,117.8
"Van Buren, MI",MI,26159,117.8
"Wilson, KS",KS,20205,117.7
"St. Joseph, MI",MI,26149,117.7
"DeKalb, AL",AL,1049,117.6
"Towns, GA",GA,13281,117.6
"Russell, VA",VA,51167,117.6
"Oklahoma, OK",OK,40109,117.5
"Madison, AL",AL,1089,117.4
"Beckham, OK",OK,40009,117.4
"Columbia, WA",WA,53013,117.4
"Jackson, AL",AL,1071,117.3
"Washington, ID",ID,16087,117.3
"Lackawanna, PA",PA,42069,117.3
"Livingston, MO",MO,29117,117.2
"Oscoda, MI",MI,26135,117.1
"Manassas, VA",VA,51683,117.1
"Lee, IA",IA,19111,117
"Baker, FL",FL,12003,116.9
"Phelps, MO",MO,29161,116.9
"Orange, IN",IN,18117,116.8
"Brunswick, NC",NC,37019,116.8
"Palo Pinto, TX",TX,48363,116.8
"Simpson, MS",MS,28127,116.7
"Columbia, AR",AR,5027,116.6
"Drew, AR",AR,5043,116.6
"Washington, MD",MD,24043,116.6
"Pueblo, CO",CO,8101,116.5
"Jefferson, IL",IL,17081,116.5
"Madison, IN",IN,18095,116.5
"Escambia, FL",FL,12033,116.4
"Greene, MO",MO,29077,116.4
"Gila, AZ",AZ,4007,116.3
"Crawford, KS",KS,20037,116.2
"Washington, VA",VA,51191,116.1
"Dickinson, MI",MI,26043,116
"Custer, MT",MT,30017,116
"Spartanburg, SC",SC,45083,116
"Washington, TN",TN,47179,116
"Okeechobee, FL",FL,12093,115.9
"Madison, GA",GA,13195,115.9
"Clark, IN",IN,18019,115.9
"Wabash, IL",IL,17185,115.8
"Cheyenne, KS",KS,20023,115.8
"Jefferson, NE",NE,31095,115.8
"Dallas, AL",AL,1047,115.7
"Teller, CO",CO,8119,115.6
"Cherokee, SC",SC,45021,115.6
"Hopewell, VA",VA,51670,115.6
"Miller, GA",GA,13201,115.5
"Grant, KY",KY,21081,115.4
"Clay, MS",MS,28025,115.4
"Dundy, NE",NE,31057,115.2
"Linn, OR",OR,41043,115.2
"Jefferson, LA",LA,22051,115.1
"Gray, TX",TX,48179,115.1
"Mason, KY",KY,21161,115
"Walton, GA",GA,13297,114.8
"Graham, NC",NC,37075,114.8
"Taylor, TX",TX,48441,114.8
"Amador, CA",CA,6005,114.7
"Shoshone, ID",ID,16079,114.7
"Jackson, MS",MS,28059,114.5
"Harney, OR",OR,41025,114.5
"Portsmouth, VA",VA,51740,114.5
"Randolph, AR",AR,5121,114.4
"Wayne, IN",IN,18177,114.4
"New Hanover, NC",NC,37129,114.4
"Jackson, OR",OR,41029,114.4
"Marion, KY",KY,21155,114.2
"Covington, MS",MS,28031,114.1
"Carteret, NC",NC,37031,114.1
"Tillamook, OR",OR,41057,114.1
"Tuscaloosa, AL",AL,1125,114
"Scioto, OH",OH,39145,113.7
"Putnam, FL",FL,12107,113.6
"Lane, OR",OR,41039,113.5
"Martin, IN",IN,18101,113.3
"Reno, KS",KS,20155,113.2
"Carter, TN",TN,47019,113.2
"Hardeman, TN",TN,47069,113.2
"Elmore, AL",AL,1051,113.1
"Marlboro, SC",SC,45069,112.9
"Webster, LA",LA,22119,112.8
"Haakon, SD",SD,46055,112.7
"Grayson, TX",TX,48181,112.7
"Northampton, VA",VA,51131,112.7
"Randolph, WV",WV,54083,112.7
"Daviess, KY",KY,21059,112.6
"Shawnee, KS",KS,20177,112.5
"Laclede, MO",MO,29105,112.5
"Davie, NC",NC,37059,112.5
"Jefferson, AR",AR,5069,112.4
"Lucas, IA",IA,19117,112.4
"Haskell, OK",OK,40061,112.4
"Taylor, FL",FL,12123,112.3
"Fountain, IN",IN,18045,112.3
"Lee, VA",VA,51105,112.3
"Randolph, AL",AL,1111,112.1
"Grant, IN",IN,18053,112.1
"Laurel, KY",KY,21125,112
"Mecklenburg, VA",VA,51117,112
"Cleburne, AR",AR,5023,111.9
"Kennebec, ME",ME,23011,111.9
"Knox, IL",IL,17095,111.8
"Garden, NE",NE,31069,111.8
"Pulaski, AR",AR,5119,111.6
"Cameron, PA",PA,42023,111.5
"Lincoln, TN",TN,47103,111.5
"Otero, CO",CO,8089,111.4
"Nassau, FL",FL,12089,111.4
