"Subsidies"
"Industry Specialization Index (Location Quotient)" 
"Bureau of Economic Analysis" 
""
"Fips","Area","IndCode","Industry","2005","2010","2015"
"01000","Alabama","30","        Printing and related support activities","(NM)","(NM)","(NM)"
"01000","Alabama","31","        Petroleum and coal products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","32","        Chemical products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","33","        Plastics and rubber products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","34","    Wholesale trade","(NM)","(NM)","(NM)"
"01000","Alabama","35","    Retail trade","(NM)","(NM)","(NM)"
"01000","Alabama","36","    Transportation and warehousing","(NM)","(NM)","(NM)"
"01000","Alabama","37","      Air transportation","(NM)","(NM)","(NM)"
"01000","Alabama","38","      Rail transportation","(NM)","(NM)","(NM)"
"01000","Alabama","39","      Water transportation","(NM)","(NM)","(NM)"
"01000","Alabama","40","      Truck transportation","(NM)","(NM)","(NM)"
"01000","Alabama","41","      Transit and ground passenger transportation","(NM)","(NM)","(NM)"
"01000","Alabama","42","      Pipeline transportation","(NM)","(NM)","(NM)"
"01000","Alabama","43","      Other transportation and support activities","(NM)","(NM)","(NM)"
"01000","Alabama","44","      Warehousing and storage","(NM)","(NM)","(NM)"
"01000","Alabama","45","    Information","(NM)","(NM)","(NM)"
"01000","Alabama","46","      Publishing industries, except Internet (includes software)","(NM)","(NM)","(NM)"
"01000","Alabama","47","      Motion picture and sound recording industries","(NM)","(NM)","(NM)"
"01000","Alabama","48","      Broadcasting and telecommunications","(NM)","(NM)","(NM)"
"01000","Alabama","49","      Data processing, internet publishing, and other information services","(NM)","(NM)","(NM)"
"01000","Alabama","50","    Finance, insurance, real estate, rental, and leasing","(NM)","(NM)","(NM)"
"01000","Alabama","51","      Finance and insurance","(NM)","(NM)","(NM)"
"01000","Alabama","52","        Federal Reserve banks, credit intermediation, and related services","(NM)","(NM)","(NM)"
"01000","Alabama","53","        Securities, commodity contracts, and investments","(NM)","(NM)","(NM)"
"01000","Alabama","54","        Insurance carriers and related activities","(NM)","(NM)","(NM)"
"01000","Alabama","55","        Funds, trusts, and other financial vehicles","(NM)","(NM)","(NM)"
"01000","Alabama","56","      Real estate and rental and leasing","(NM)","(NM)","(NM)"
"01000","Alabama","57","        Real estate","(NM)","(NM)","(NM)"
"01000","Alabama","58","        Rental and leasing services and lessors of intangible assets","(NM)","(NM)","(NM)"
"01000","Alabama","59","    Professional and business services","(NM)","(NM)","(NM)"
"01000","Alabama","60","      Professional, scientific, and technical services","(NM)","(NM)","(NM)"
"01000","Alabama","61","        Legal services","(NM)","(NM)","(NM)"
"01000","Alabama","62","        Computer systems design and related services","(NM)","(NM)","(NM)"
"01000","Alabama","63","        Miscellaneous professional, scientific, and technical services","(NM)","(NM)","(NM)"
"01000","Alabama","64","      Management of companies and enterprises","(NM)","(NM)","(NM)"
"01000","Alabama","65","      Administrative and waste management services","(NM)","(NM)","(NM)"
"01000","Alabama","66","        Administrative and support services","(NM)","(NM)","(NM)"
"01000","Alabama","67","        Waste management and remediation services","(NM)","(NM)","(NM)"
"01000","Alabama","68","    Educational services, health care, and social assistance","(NM)","(NM)","(NM)"
"01000","Alabama","69","      Educational services","(NM)","(NM)","(NM)"
"01000","Alabama","70","      Health care and social assistance","(NM)","(NM)","(NM)"
"01000","Alabama","71","        Ambulatory health care services","(NM)","(NM)","(NM)"
"01000","Alabama","72","        Hospitals and nursing and residential care facilities","(NM)","(NM)","(NM)"
"01000","Alabama","73","        Social assistance","(NM)","(NM)","(NM)"
"01000","Alabama","74","    Arts, entertainment, recreation, accommodation, and food services","(NM)","(NM)","(NM)"
"01000","Alabama","75","      Arts, entertainment, and recreation","(NM)","(NM)","(NM)"
"01000","Alabama","76","        Performing arts, spectator sports, museums, and related activities","(NM)","(NM)","(NM)"
"01000","Alabama","77","        Amusements, gambling, and recreation industries","(NM)","(NM)","(NM)"
"01000","Alabama","78","      Accommodation and food services","(NM)","(NM)","(NM)"
"01000","Alabama","79","        Accommodation","(NM)","(NM)","(NM)"
"01000","Alabama","80","        Food services and drinking places","(NM)","(NM)","(NM)"
"01000","Alabama","81","    Other services, except government","(NM)","(NM)","(NM)"
"01000","Alabama","82","  Government","(NM)","(NM)","(NM)"
"01000","Alabama","83","    Federal civilian","(NM)","(NM)","(NM)"
"01000","Alabama","84","    Federal military","(NM)","(NM)","(NM)"
"01000","Alabama","85","    State and local","(NM)","(NM)","(NM)"
"01000","Alabama","86","Addenda:","","",""
"01000","Alabama","86","Natural resources and mining","(NM)","(NM)","(NM)"
"01000","Alabama","87","Trade","(NM)","(NM)","(NM)"
"01000","Alabama","88","Transportation and utilities","(NM)","(NM)","(NM)"
"01000","Alabama","89","Private goods-producing industries","(NM)","(NM)","(NM)"
"01000","Alabama","90","Private services-providing industries","(NM)","(NM)","(NM)"
"02000","Alaska","1","All industry total","(NM)","(NM)","(NM)"
"02000","Alaska","2","  Private industries","(NM)","(NM)","(NM)"
"02000","Alaska","3","    Agriculture, forestry, fishing, and hunting","(NM)","(NM)","(NM)"
"02000","Alaska","4","      Farms","(NM)","(NM)","(NM)"
"02000","Alaska","5","      Forestry, fishing, and related activities","(NM)","(NM)","(NM)"
"02000","Alaska","6","    Mining","(NM)","(NM)","(NM)"
"02000","Alaska","7","      Oil and gas extraction","(NM)","(NM)","(NM)"
"02000","Alaska","8","      Mining, except oil and gas","(NM)","(NM)","(NM)"
"02000","Alaska","9","      Support activities for mining","(NM)","(NM)","(NM)"
"02000","Alaska","10","    Utilities","(NM)","(NM)","(NM)"
"02000","Alaska","11","    Construction","(NM)","(NM)","(NM)"
"02000","Alaska","12","    Manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","13","      Durable goods manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","14","        Wood products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","15","        Nonmetallic mineral products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","16","        Primary metals manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","17","        Fabricated metal products","(NM)","(NM)","(NM)"
"02000","Alaska","18","        Machinery manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","19","        Computer and electronic products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","20","        Electrical equipment, appliance, and components manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","21","        Motor vehicles, bodies and trailers, and parts manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","22","        Other transportation equipment manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","23","        Furniture and related products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","24","        Miscellaneous manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","25","      Nondurable goods manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","26","        Food and beverage and tobacco products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","27","        Textile mills and textile product mills","(NM)","(NM)","(NM)"
"02000","Alaska","28","        Apparel and leather and allied products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","29","        Paper products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","30","        Printing and related support activities","(NM)","(NM)","(NM)"
"02000","Alaska","31","        Petroleum and coal products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","32","        Chemical products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","33","        Plastics and rubber products manufacturing","(NM)","(NM)","(NM)"
"02000","Alaska","34","    Wholesale trade","(NM)","(NM)","(NM)"
"02000","Alaska","35","    Retail trade","(NM)","(NM)","(NM)"
"02000","Alaska","36","    Transportation and warehousing","(NM)","(NM)","(NM)"
"02000","Alaska","37","      Air transportation","(NM)","(NM)","(NM)"
"02000","Alaska","38","      Rail transportation","(NM)","(NM)","(NM)"
"02000","Alaska","39","      Water transportation","(NM)","(NM)","(NM)"
"02000","Alaska","40","      Truck transportation","(NM)","(NM)","(NM)"
"02000","Alaska","41","      Transit and ground passenger transportation","(NM)","(NM)","(NM)"
"02000","Alaska","42","      Pipeline transportation","(NM)","(NM)","(NM)"
"02000","Alaska","43","      Other transportation and support activities","(NM)","(NM)","(NM)"
"02000","Alaska","44","      Warehousing and storage","(NM)","(NM)","(NM)"
"02000","Alaska","45","    Information","(NM)","(NM)","(NM)"
"02000","Alaska","46","      Publishing industries, except Internet (includes software)","(NM)","(NM)","(NM)"
"02000","Alaska","47","      Motion picture and sound recording industries","(NM)","(NM)","(NM)"
"02000","Alaska","48","      Broadcasting and telecommunications","(NM)","(NM)","(NM)"
"02000","Alaska","49","      Data processing, internet publishing, and other information services","(NM)","(NM)","(NM)"
"02000","Alaska","50","    Finance, insurance, real estate, rental, and leasing","(NM)","(NM)","(NM)"
"02000","Alaska","51","      Finance and insurance","(NM)","(NM)","(NM)"
"02000","Alaska","52","        Federal Reserve banks, credit intermediation, and related services","(NM)","(NM)","(NM)"
"02000","Alaska","53","        Securities, commodity contracts, and investments","(NM)","(NM)","(NM)"
"02000","Alaska","54","        Insurance carriers and related activities","(NM)","(NM)","(NM)"
"02000","Alaska","55","        Funds, trusts, and other financial vehicles","(NM)","(NM)","(NM)"
"02000","Alaska","56","      Real estate and rental and leasing","(NM)","(NM)","(NM)"
"02000","Alaska","57","        Real estate","(NM)","(NM)","(NM)"
"02000","Alaska","58","        Rental and leasing services and lessors of intangible assets","(NM)","(NM)","(NM)"
"02000","Alaska","59","    Professional and business services","(NM)","(NM)","(NM)"
"02000","Alaska","60","      Professional, scientific, and technical services","(NM)","(NM)","(NM)"
"02000","Alaska","61","        Legal services","(NM)","(NM)","(NM)"
"02000","Alaska","62","        Computer systems design and related services","(NM)","(NM)","(NM)"
"02000","Alaska","63","        Miscellaneous professional, scientific, and technical services","(NM)","(NM)","(NM)"
"02000","Alaska","64","      Management of companies and enterprises","(NM)","(NM)","(NM)"
"02000","Alaska","65","      Administrative and waste management services","(NM)","(NM)","(NM)"
"02000","Alaska","66","        Administrative and support services","(NM)","(NM)","(NM)"
"02000","Alaska","67","        Waste management and remediation services","(NM)","(NM)","(NM)"
"02000","Alaska","68","    Educational services, health care, and social assistance","(NM)","(NM)","(NM)"
"02000","Alaska","69","      Educational services","(NM)","(NM)","(NM)"
"02000","Alaska","70","      Health care and social assistance","(NM)","(NM)","(NM)"
"02000","Alaska","71","        Ambulatory health care services","(NM)","(NM)","(NM)"
"02000","Alaska","72","        Hospitals and nursing and residential care facilities","(NM)","(NM)","(NM)"
"02000","Alaska","73","        Social assistance","(NM)","(NM)","(NM)"
"02000","Alaska","74","    Arts, entertainment, recreation, accommodation, and food services","(NM)","(NM)","(NM)"
"02000","Alaska","75","      Arts, entertainment, and recreation","(NM)","(NM)","(NM)"
"02000","Alaska","76","        Performing arts, spectator sports, museums, and related activities","(NM)","(NM)","(NM)"
"02000","Alaska","77","        Amusements, gambling, and recreation industries","(NM)","(NM)","(NM)"
"02000","Alaska","78","      Accommodation and food services","(NM)","(NM)","(NM)"
"02000","Alaska","79","        Accommodation","(NM)","(NM)","(NM)"
"02000","Alaska","80","        Food services and drinking places","(NM)","(NM)","(NM)"
"02000","Alaska","81","    Other services, except government","(NM)","(NM)","(NM)"
"02000","Alaska","82","  Government","(NM)","(NM)","(NM)"
"02000","Alaska","83","    Federal civilian","(NM)","(NM)","(NM)"
"02000","Alaska","84","    Federal military","(NM)","(NM)","(NM)"
"02000","Alaska","85","    State and local","(NM)","(NM)","(NM)"
"02000","Alaska","86","Addenda:","","",""
"02000","Alaska","86","Natural resources and mining","(NM)","(NM)","(NM)"
"02000","Alaska","87","Trade","(NM)","(NM)","(NM)"
"02000","Alaska","88","Transportation and utilities","(NM)","(NM)","(NM)"
"02000","Alaska","89","Private goods-producing industries","(NM)","(NM)","(NM)"
"02000","Alaska","90","Private services-providing industries","(NM)","(NM)","(NM)"
"04000","Arizona","1","All industry total","(NM)","(NM)","(NM)"
"04000","Arizona","2","  Private industries","(NM)","(NM)","(NM)"
"04000","Arizona","3","    Agriculture, forestry, fishing, and hunting","(NM)","(NM)","(NM)"
"04000","Arizona","4","      Farms","(NM)","(NM)","(NM)"
"04000","Arizona","5","      Forestry, fishing, and related activities","(NM)","(NM)","(NM)"
"04000","Arizona","6","    Mining","(NM)","(NM)","(NM)"
"04000","Arizona","7","      Oil and gas extraction","(NM)","(NM)","(NM)"
"04000","Arizona","8","      Mining, except oil and gas","(NM)","(NM)","(NM)"
"04000","Arizona","9","      Support activities for mining","(NM)","(NM)","(NM)"
"04000","Arizona","10","    Utilities","(NM)","(NM)","(NM)"
"04000","Arizona","11","    Construction","(NM)","(NM)","(NM)"
"04000","Arizona","12","    Manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","13","      Durable goods manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","14","        Wood products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","15","        Nonmetallic mineral products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","16","        Primary metals manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","17","        Fabricated metal products","(NM)","(NM)","(NM)"
"04000","Arizona","18","        Machinery manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","19","        Computer and electronic products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","20","        Electrical equipment, appliance, and components manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","21","        Motor vehicles, bodies and trailers, and parts manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","22","        Other transportation equipment manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","23","        Furniture and related products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","24","        Miscellaneous manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","25","      Nondurable goods manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","26","        Food and beverage and tobacco products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","27","        Textile mills and textile product mills","(NM)","(NM)","(NM)"
"04000","Arizona","28","        Apparel and leather and allied products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","29","        Paper products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","30","        Printing and related support activities","(NM)","(NM)","(NM)"
"04000","Arizona","31","        Petroleum and coal products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","32","        Chemical products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","33","        Plastics and rubber products manufacturing","(NM)","(NM)","(NM)"
"04000","Arizona","34","    Wholesale trade","(NM)","(NM)","(NM)"
"04000","Arizona","35","    Retail trade","(NM)","(NM)","(NM)"
"04000","Arizona","36","    Transportation and warehousing","(NM)","(NM)","(NM)"
"04000","Arizona","37","      Air transportation","(NM)","(NM)","(NM)"
"04000","Arizona","38","      Rail transportation","(NM)","(NM)","(NM)"
"04000","Arizona","39","      Water transportation","(NM)","(NM)","(NM)"
"04000","Arizona","40","      Truck transportation","(NM)","(NM)","(NM)"
"04000","Arizona","41","      Transit and ground passenger transportation","(NM)","(NM)","(NM)"
"04000","Arizona","42","      Pipeline transportation","(NM)","(NM)","(NM)"
"04000","Arizona","43","      Other transportation and support activities","(NM)","(NM)","(NM)"
"04000","Arizona","44","      Warehousing and storage","(NM)","(NM)","(NM)"
"04000","Arizona","45","    Information","(NM)","(NM)","(NM)"
"04000","Arizona","46","      Publishing industries, except Internet (includes software)","(NM)","(NM)","(NM)"
"04000","Arizona","47","      Motion picture and sound recording industries","(NM)","(NM)","(NM)"
"04000","Arizona","48","      Broadcasting and telecommunications","(NM)","(NM)","(NM)"
"04000","Arizona","49","      Data processing, internet publishing, and other information services","(NM)","(NM)","(NM)"
"04000","Arizona","50","    Finance, insurance, real estate, rental, and leasing","(NM)","(NM)","(NM)"
"04000","Arizona","51","      Finance and insurance","(NM)","(NM)","(NM)"
"04000","Arizona","52","        Federal Reserve banks, credit intermediation, and related services","(NM)","(NM)","(NM)"
"04000","Arizona","53","        Securities, commodity contracts, and investments","(NM)","(NM)","(NM)"
"04000","Arizona","54","        Insurance carriers and related activities","(NM)","(NM)","(NM)"
"04000","Arizona","55","        Funds, trusts, and other financial vehicles","(NM)","(NM)","(NM)"
"04000","Arizona","56","      Real estate and rental and leasing","(NM)","(NM)","(NM)"
"04000","Arizona","57","        Real estate","(NM)","(NM)","(NM)"
"04000","Arizona","58","        Rental and leasing services and lessors of intangible assets","(NM)","(NM)","(NM)"
"04000","Arizona","59","    Professional and business services","(NM)","(NM)","(NM)"
"04000","Arizona","60","      Professional, scientific, and technical services","(NM)","(NM)","(NM)"
"04000","Arizona","61","        Legal services","(NM)","(NM)","(NM)"
"04000","Arizona","62","        Computer systems design and related services","(NM)","(NM)","(NM)"
"04000","Arizona","63","        Miscellaneous professional, scientific, and technical services","(NM)","(NM)","(NM)"
"04000","Arizona","64","      Management of companies and enterprises","(NM)","(NM)","(NM)"
"04000","Arizona","65","      Administrative and waste management services","(NM)","(NM)","(NM)"
"04000","Arizona","66","        Administrative and support services","(NM)","(NM)","(NM)"
"04000","Arizona","67","        Waste management and remediation services","(NM)","(NM)","(NM)"
"04000","Arizona","68","    Educational services, health care, and social assistance","(NM)","(NM)","(NM)"
"04000","Arizona","69","      Educational services","(NM)","(NM)","(NM)"
"04000","Arizona","70","      Health care and social assistance","(NM)","(NM)","(NM)"
"04000","Arizona","71","        Ambulatory health care services","(NM)","(NM)","(NM)"
"04000","Arizona","72","        Hospitals and nursing and residential care facilities","(NM)","(NM)","(NM)"
"04000","Arizona","73","        Social assistance","(NM)","(NM)","(NM)"
"04000","Arizona","74","    Arts, entertainment, recreation, accommodation, and food services","(NM)","(NM)","(NM)"
"04000","Arizona","75","      Arts, entertainment, and recreation","(NM)","(NM)","(NM)"
"04000","Arizona","76","        Performing arts, spectator sports, museums, and related activities","(NM)","(NM)","(NM)"
"04000","Arizona","77","        Amusements, gambling, and recreation industries","(NM)","(NM)","(NM)"
"04000","Arizona","78","      Accommodation and food services","(NM)","(NM)","(NM)"
"04000","Arizona","79","        Accommodation","(NM)","(NM)","(NM)"
"04000","Arizona","80","        Food services and drinking places","(NM)","(NM)","(NM)"
"04000","Arizona","81","    Other services, except government","(NM)","(NM)","(NM)"
"04000","Arizona","82","  Government","(NM)","(NM)","(NM)"
"04000","Arizona","83","    Federal civilian","(NM)","(NM)","(NM)"
"04000","Arizona","84","    Federal military","(NM)","(NM)","(NM)"
"04000","Arizona","85","    State and local","(NM)","(NM)","(NM)"
"04000","Arizona","86","Addenda:","","",""
"04000","Arizona","86","Natural resources and mining","(NM)","(NM)","(NM)"
"04000","Arizona","87","Trade","(NM)","(NM)","(NM)"
"04000","Arizona","88","Transportation and utilities","(NM)","(NM)","(NM)"
"04000","Arizona","89","Private goods-producing industries","(NM)","(NM)","(NM)"
"04000","Arizona","90","Private services-providing industries","(NM)","(NM)","(NM)"
"05000","Arkansas","1","All industry total","(NM)","(NM)","(NM)"
"05000","Arkansas","2","  Private industries","(NM)","(NM)","(NM)"
"05000","Arkansas","3","    Agriculture, forestry, fishing, and hunting","(NM)","(NM)","(NM)"
"05000","Arkansas","4","      Farms","(NM)","(NM)","(NM)"
"05000","Arkansas","5","      Forestry, fishing, and related activities","(NM)","(NM)","(NM)"
"05000","Arkansas","6","    Mining","(NM)","(NM)","(NM)"
"05000","Arkansas","7","      Oil and gas extraction","(NM)","(NM)","(NM)"
"05000","Arkansas","8","      Mining, except oil and gas","(NM)","(NM)","(NM)"
"05000","Arkansas","9","      Support activities for mining","(NM)","(NM)","(NM)"
"05000","Arkansas","10","    Utilities","(NM)","(NM)","(NM)"
"05000","Arkansas","11","    Construction","(NM)","(NM)","(NM)"
"05000","Arkansas","12","    Manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","13","      Durable goods manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","14","        Wood products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","15","        Nonmetallic mineral products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","16","        Primary metals manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","17","        Fabricated metal products","(NM)","(NM)","(NM)"
"05000","Arkansas","18","        Machinery manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","19","        Computer and electronic products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","20","        Electrical equipment, appliance, and components manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","21","        Motor vehicles, bodies and trailers, and parts manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","22","        Other transportation equipment manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","23","        Furniture and related products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","24","        Miscellaneous manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","25","      Nondurable goods manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","26","        Food and beverage and tobacco products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","27","        Textile mills and textile product mills","(NM)","(NM)","(NM)"
"05000","Arkansas","28","        Apparel and leather and allied products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","29","        Paper products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","30","        Printing and related support activities","(NM)","(NM)","(NM)"
"05000","Arkansas","31","        Petroleum and coal products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","32","        Chemical products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","33","        Plastics and rubber products manufacturing","(NM)","(NM)","(NM)"
"05000","Arkansas","34","    Wholesale trade","(NM)","(NM)","(NM)"
"05000","Arkansas","35","    Retail trade","(NM)","(NM)","(NM)"
"05000","Arkansas","36","    Transportation and warehousing","(NM)","(NM)","(NM)"
"05000","Arkansas","37","      Air transportation","(NM)","(NM)","(NM)"
"05000","Arkansas","38","      Rail transportation","(NM)","(NM)","(NM)"
"05000","Arkansas","39","      Water transportation","(NM)","(NM)","(NM)"
"05000","Arkansas","40","      Truck transportation","(NM)","(NM)","(NM)"
"05000","Arkansas","41","      Transit and ground passenger transportation","(NM)","(NM)","(NM)"
"05000","Arkansas","42","      Pipeline transportation","(NM)","(NM)","(NM)"
"05000","Arkansas","43","      Other transportation and support activities","(NM)","(NM)","(NM)"
"05000","Arkansas","44","      Warehousing and storage","(NM)","(NM)","(NM)"
"05000","Arkansas","45","    Information","(NM)","(NM)","(NM)"
"05000","Arkansas","46","      Publishing industries, except Internet (includes software)","(NM)","(NM)","(NM)"
"05000","Arkansas","47","      Motion picture and sound recording industries","(NM)","(NM)","(NM)"
"05000","Arkansas","48","      Broadcasting and telecommunications","(NM)","(NM)","(NM)"
"05000","Arkansas","49","      Data processing, internet publishing, and other information services","(NM)","(NM)","(NM)"
"05000","Arkansas","50","    Finance, insurance, real estate, rental, and leasing","(NM)","(NM)","(NM)"
"05000","Arkansas","51","      Finance and insurance","(NM)","(NM)","(NM)"
"05000","Arkansas","52","        Federal Reserve banks, credit intermediation, and related services","(NM)","(NM)","(NM)"
"05000","Arkansas","53","        Securities, commodity contracts, and investments","(NM)","(NM)","(NM)"
"05000","Arkansas","54","        Insurance carriers and related activities","(NM)","(NM)","(NM)"
"05000","Arkansas","55","        Funds, trusts, and other financial vehicles","(NM)","(NM)","(NM)"
"05000","Arkansas","56","      Real estate and rental and leasing","(NM)","(NM)","(NM)"
"05000","Arkansas","57","        Real estate","(NM)","(NM)","(NM)"
"05000","Arkansas","58","        Rental and leasing services and lessors of intangible assets","(NM)","(NM)","(NM)"
"05000","Arkansas","59","    Professional and business services","(NM)","(NM)","(NM)"
"05000","Arkansas","60","      Professional, scientific, and technical services","(NM)","(NM)","(NM)"
"05000","Arkansas","61","        Legal services","(NM)","(NM)","(NM)"
"05000","Arkansas","62","        Computer systems design and related services","(NM)","(NM)","(NM)"
"05000","Arkansas","63","        Miscellaneous professional, scientific, and technical services","(NM)","(NM)","(NM)"
"05000","Arkansas","64","      Management of companies and enterprises","(NM)","(NM)","(NM)"
"05000","Arkansas","65","      Administrative and waste management services","(NM)","(NM)","(NM)"
"05000","Arkansas","66","        Administrative and support services","(NM)","(NM)","(NM)"
"05000","Arkansas","67","        Waste management and remediation services","(NM)","(NM)","(NM)"
"05000","Arkansas","68","    Educational services, health care, and social assistance","(NM)","(NM)","(NM)"
"05000","Arkansas","69","      Educational services","(NM)","(NM)","(NM)"
"05000","Arkansas","70","      Health care and social assistance","(NM)","(NM)","(NM)"
"05000","Arkansas","71","        Ambulatory health care services","(NM)","(NM)","(NM)"
"05000","Arkansas","72","        Hospitals and nursing and residential care facilities","(NM)","(NM)","(NM)"
"05000","Arkansas","73","        Social assistance","(NM)","(NM)","(NM)"
"05000","Arkansas","74","    Arts, entertainment, recreation, accommodation, and food services","(NM)","(NM)","(NM)"
"05000","Arkansas","75","      Arts, entertainment, and recreation","(NM)","(NM)","(NM)"
"05000","Arkansas","76","        Performing arts, spectator sports, museums, and related activities","(NM)","(NM)","(NM)"
"05000","Arkansas","77","        Amusements, gambling, and recreation industries","(NM)","(NM)","(NM)"
"05000","Arkansas","78","      Accommodation and food services","(NM)","(NM)","(NM)"
"05000","Arkansas","79","        Accommodation","(NM)","(NM)","(NM)"
"05000","Arkansas","80","        Food services and drinking places","(NM)","(NM)","(NM)"
"05000","Arkansas","81","    Other services, except government","(NM)","(NM)","(NM)"
